order_id,customer_id,province,amount,status
1,CUS041,Hanoi,173803,SUCCESS
2,CUS015,HCM,3695533,PENDING
3,CUS035,Hanoi,2972938,SUCCESS
4,CUS006,HCM,1201671,PENDING
5,CUS036,HCM,3594297,PENDING
6,CUS027,HCM,2273585,SUCCESS
7,CUS001,HCM,3505790,SUCCESS
8,CUS010,HCM,4788205,SUCCESS
9,CUS006,HaiPhong,528746,CANCELLED
10,CUS039,DaNang,4045285,PENDING
11,CUS035,Hanoi,4866923,SUCCESS
12,CUS036,DaNang,4155553,PENDING
13,CUS024,CanTho,1001829,SUCCESS
14,CUS043,HCM,3876688,FAILED
15,CUS015,Hanoi,1931625,SUCCESS
16,CUS024,HCM,1882396,SUCCESS
17,CUS018,Hanoi,3065198,SUCCESS
18,CUS047,HCM,858842,SUCCESS
19,CUS041,CanTho,1137095,SUCCESS
20,CUS050,Hanoi,1183788,SUCCESS
21,CUS021,HaiPhong,1375317,SUCCESS
22,CUS037,DaNang,1102501,SUCCESS
23,CUS042,HaiPhong,757214,SUCCESS
24,CUS048,CanTho,2717938,PENDING
25,CUS028,CanTho,2027033,SUCCESS
26,CUS009,CanTho,2492903,PENDING
27,CUS008,HCM,3155858,PENDING
28,CUS028,CanTho,364462,SUCCESS
29,CUS030,CanTho,1294500,SUCCESS
30,CUS001,Hanoi,3424466,SUCCESS
31,CUS018,DaNang,602183,SUCCESS
32,CUS030,Hanoi,4771389,CANCELLED
33,CUS017,CanTho,3821713,SUCCESS
34,CUS007,DaNang,4216263,SUCCESS
35,CUS013,HCM,1900874,SUCCESS
36,CUS050,CanTho,4596543,SUCCESS
37,CUS032,Hanoi,603745,SUCCESS
38,CUS020,HCM,336730,CANCELLED
39,CUS006,Hanoi,3672943,CANCELLED
40,CUS049,CanTho,3840880,SUCCESS
41,CUS031,CanTho,867378,SUCCESS
42,CUS039,HaiPhong,4823596,FAILED
43,CUS049,HCM,3579097,SUCCESS
44,CUS043,DaNang,2218595,SUCCESS
45,CUS008,HCM,1162252,SUCCESS
46,CUS038,CanTho,1189068,SUCCESS
47,CUS005,Hanoi,1183262,FAILED
48,CUS022,Hanoi,2595073,SUCCESS
49,CUS032,HCM,2719208,PENDING
50,CUS037,CanTho,2389722,PENDING
51,CUS027,HCM,516913,PENDING
52,CUS023,HaiPhong,2084956,CANCELLED
53,CUS004,Hanoi,350033,PENDING
54,CUS007,HCM,998371,SUCCESS
55,CUS009,HaiPhong,958266,SUCCESS
56,CUS005,HaiPhong,4049710,CANCELLED
57,CUS007,Hanoi,3278117,SUCCESS
58,CUS001,Hanoi,4635517,CANCELLED
59,CUS011,HaiPhong,2453924,SUCCESS
60,CUS026,Hanoi,864954,SUCCESS
61,CUS025,DaNang,4636264,PENDING
62,CUS019,HaiPhong,3498128,PENDING
63,CUS036,HaiPhong,816244,SUCCESS
64,CUS004,CanTho,3691899,SUCCESS
65,CUS021,Hanoi,298205,SUCCESS
66,CUS034,HCM,331554,SUCCESS
67,CUS012,Hanoi,2995424,PENDING
68,CUS016,HaiPhong,643439,CANCELLED
69,CUS016,CanTho,2992870,PENDING
70,CUS027,CanTho,2847873,SUCCESS
71,CUS017,HCM,3365144,SUCCESS
72,CUS017,HaiPhong,697847,PENDING
73,CUS030,DaNang,4648641,FAILED
74,CUS001,HaiPhong,3124738,SUCCESS
75,CUS007,Hanoi,2711290,SUCCESS
76,CUS009,DaNang,4410278,CANCELLED
77,CUS024,DaNang,830847,CANCELLED
78,CUS046,DaNang,3077805,FAILED
79,CUS042,CanTho,88724,CANCELLED
80,CUS020,Hanoi,4697704,SUCCESS
81,CUS008,Hanoi,3724963,SUCCESS
82,CUS019,CanTho,1092617,SUCCESS
83,CUS044,DaNang,2551775,SUCCESS
84,CUS004,Hanoi,3189708,CANCELLED
85,CUS003,Hanoi,1701105,SUCCESS
86,CUS017,HCM,3719093,SUCCESS
87,CUS028,CanTho,97865,SUCCESS
88,CUS045,HCM,2750672,CANCELLED
