order_id,customer_id,province,amount,status
1,CUS041,Hanoi,173803,SUCCESS
3,CUS035,Hanoi,2972938,SUCCESS
6,CUS027,HCM,2273585,SUCCESS
7,CUS001,HCM,3505790,SUCCESS
8,CUS010,HCM,4788205,SUCCESS
11,CUS035,Hanoi,4866923,SUCCESS
13,CUS024,CanTho,1001829,SUCCESS
15,CUS015,Hanoi,1931625,SUCCESS
16,CUS024,HCM,1882396,SUCCESS
17,CUS018,Hanoi,3065198,SUCCESS
18,CUS047,HCM,858842,SUCCESS
19,CUS041,CanTho,1137095,SUCCESS
20,CUS050,Hanoi,1183788,SUCCESS
21,CUS021,HaiPhong,1375317,SUCCESS
22,CUS037,DaNang,1102501,SUCCESS
23,CUS042,HaiPhong,757214,SUCCESS
25,CUS028,CanTho,2027033,SUCCESS
28,CUS028,CanTho,364462,SUCCESS
29,CUS030,CanTho,1294500,SUCCESS
30,CUS001,Hanoi,3424466,SUCCESS
31,CUS018,DaNang,602183,SUCCESS
33,CUS017,CanTho,3821713,SUCCESS
34,CUS007,DaNang,4216263,SUCCESS
35,CUS013,HCM,1900874,SUCCESS
36,CUS050,CanTho,4596543,SUCCESS
37,CUS032,Hanoi,603745,SUCCESS
40,CUS049,CanTho,3840880,SUCCESS
41,CUS031,CanTho,867378,SUCCESS
43,CUS049,HCM,3579097,SUCCESS
44,CUS043,DaNang,2218595,SUCCESS
45,CUS008,HCM,1162252,SUCCESS
46,CUS038,CanTho,1189068,SUCCESS
48,CUS022,Hanoi,2595073,SUCCESS
54,CUS007,HCM,998371,SUCCESS
55,CUS009,HaiPhong,958266,SUCCESS
57,CUS007,Hanoi,3278117,SUCCESS
59,CUS011,HaiPhong,2453924,SUCCESS
60,CUS026,Hanoi,864954,SUCCESS
63,CUS036,HaiPhong,816244,SUCCESS
64,CUS004,CanTho,3691899,SUCCESS
65,CUS021,Hanoi,298205,SUCCESS
66,CUS034,HCM,331554,SUCCESS
70,CUS027,CanTho,2847873,SUCCESS
71,CUS017,HCM,3365144,SUCCESS
74,CUS001,HaiPhong,3124738,SUCCESS
75,CUS007,Hanoi,2711290,SUCCESS
80,CUS020,Hanoi,4697704,SUCCESS
81,CUS008,Hanoi,3724963,SUCCESS
82,CUS019,CanTho,1092617,SUCCESS
83,CUS044,DaNang,2551775,SUCCESS
85,CUS003,Hanoi,1701105,SUCCESS
86,CUS017,HCM,3719093,SUCCESS
87,CUS028,CanTho,97865,SUCCESS
89,CUS038,CanTho,783064,SUCCESS
91,CUS003,DaNang,1089879,SUCCESS
98,CUS015,HCM,4092104,SUCCESS
100,CUS026,DaNang,1429085,SUCCESS
101,CUS050,DaNang,1788173,SUCCESS
102,CUS044,CanTho,1689192,SUCCESS
104,CUS003,Hanoi,3003028,SUCCESS
105,CUS021,HaiPhong,3050734,SUCCESS
106,CUS025,CanTho,990890,SUCCESS
108,CUS044,HCM,1852896,SUCCESS
111,CUS021,HaiPhong,3501182,SUCCESS
112,CUS013,HaiPhong,3341401,SUCCESS
113,CUS048,HCM,3096799,SUCCESS
114,CUS036,Hanoi,1554181,SUCCESS
115,CUS038,CanTho,3290793,SUCCESS
117,CUS048,HCM,3311311,SUCCESS
119,CUS049,HCM,3380339,SUCCESS
120,CUS013,HCM,170906,SUCCESS
121,CUS031,CanTho,4256202,SUCCESS
124,CUS001,Hanoi,3903181,SUCCESS
125,CUS045,CanTho,2349522,SUCCESS
126,CUS008,HaiPhong,710029,SUCCESS
129,CUS028,CanTho,2257272,SUCCESS
130,CUS031,HaiPhong,1332998,SUCCESS
131,CUS041,DaNang,3840778,SUCCESS
132,CUS041,HCM,1409257,SUCCESS
133,CUS019,HCM,1394990,SUCCESS
134,CUS035,Hanoi,734952,SUCCESS
135,CUS045,HCM,3546775,SUCCESS
136,CUS027,DaNang,2735925,SUCCESS
139,CUS025,HaiPhong,79186,SUCCESS
141,CUS027,CanTho,3750203,SUCCESS
142,CUS039,HCM,2466736,SUCCESS
145,CUS040,CanTho,183484,SUCCESS
